西安|城西区|2室2厅|125.04|南北|简装|7|板楼|105
西安|城西区|3室1厅|92.92|东南|精装|26|板塔结合|1418
西安|城西区|3室2厅|131.12|南北|毛坯|6|板楼|200
西安|城西区|3室1厅|111.27|南北|简装|9|板楼|155
西安|城西区|2室2厅|94.99|南北|精装|18|板楼|127
西安|城西区|2室2厅|84.84|东北|简装|13|塔楼|96
西安|城西区|3室1厅|85.42|东南北|简装|6|板楼|109
西安|城西区|2室2厅|85.42|南|精装|33|板楼|114
西安|城西区|3室1厅|99.83|南北|简装|32|板塔结合|138
西安|城西区|3室2厅|116.08|北南|精装|33|板塔结合|165
西安|城西区|3室2厅|108.86|南北|简装|7|板塔结合|99
西安|城西区|2室2厅|84.02|南北|简装|6|板楼|107
西安|城西区|2室2厅|95.08|北|精装|32|板塔结合|118
西安|城西区|2室2厅|150.48|西南|精装|24|板塔结合|129
西安|城西区|2室2厅|73.04|西|简装|18|板塔结合|1085
西安|城西区|3室2厅|107.77|南北|精装|33|板塔结合|222
西安|城西区|3室2厅|107.77|南北|精装|33|板塔结合|160
西安|城西区|4室2厅|168.95|南北|精装|12|板塔结合|228
西安|城西区|2室1厅|66.08|西北|简装|32|塔楼|112
西安|城西区|2室2厅|67.68|南|精装|33|板塔结合|107
西安|城西区|4室2厅|145.33|西北|精装|32|板塔结合|240
西安|城西区|2室1厅|94.37|南北|精装|13|板塔结合|148
西安|城西区|2室1厅|62.41|南|简装|24|塔楼|899
西安|城西区|2室1厅|84.88|西北|简装|34|塔楼|129
西安|城西区|2室1厅|82.54|东|简装|30|塔楼|866
西安|城西区|2室1厅|63.74|西|简装|30|塔楼|75
西安|城西区|1室1厅|57.52|东南|精装|21|塔楼|818
西安|城西区|2室2厅|86.35|西|精装|11|板楼|123
西安|城西区|2室2厅|98.88|南|精装|27|板塔结合|159
西安|城西区|2室1厅|94.48|南北|简装|6|板楼|1017
西安|城西区|2室2厅|89.69|南|精装|30|板塔结合|145
西安|城西区|2室2厅|90.21|西南|精装|33|板塔结合|130
西安|城西区|2室2厅|84.66|西南|毛坯|33|塔楼|109
西安|城西区|2室2厅|88.99|南西北|精装|27|塔楼|114
西安|城西区|2室2厅|88.99|南|简装|11|板塔结合|169
西安|城西区|2室1厅|63.09|北|简装|34|板楼|100
西安|城西区|2室1厅|76.16|南|简装|27|板塔结合|1368
西安|城西区|2室1厅|121.25|南|简装|12|板塔结合|173
西安|城西区|3室2厅|113.02|南北|精装|33|板塔结合|154
西安|城西区|3室1厅|95.39|西南|精装|33|板塔结合|150
西安|城西区|3室1厅|95.24|南|精装|33|板塔结合|146
西安|城西区|3室2厅|106.03|南北|精装|26|板塔结合|169
西安|城西区|2室1厅|82.49|南|精装|30|板塔结合|183
西安|城西区|2室2厅|91.14|东南|简装|33|板塔结合|126
西安|城西区|2室1厅|83.39|北|简装|33|板塔结合|1348
西安|城西区|2室1厅|85.76|西|精装|26|板塔结合|1064
西安|城西区|2室2厅|89.77|南北|精装|33|板塔结合|118
西安|城西区|2室1厅|57.79|西|精装|33|板塔结合|92
西安|城西区|2室2厅|112.72|西北|精装|8|板塔结合|135
西安|城西区|2室1厅|77.84|南|精装|34|塔楼|148
西安|城西区|2室2厅|84.23|南|精装|6|板楼|108
西安|城西区|2室1厅|48.56|南北|简装|5|板楼|51
西安|城西区|2室1厅|72.72|南|毛坯|31|板塔结合|120
西安|城西区|2室1厅|72.53|北|精装|30|塔楼|90
西安|城西区|2室2厅|85.08|南北|简装|6|塔楼|109
西安|城西区|2室1厅|100.88|南北|简装|32|塔楼|141
西安|城西区|2室2厅|81.68|西南|简装|12|塔楼|73
西安|城西区|2室1厅|55.77|南|简装|6|板楼|575
西安|城西区|1室1厅|42.27|东|精装|31|板塔结合|715
西安|城西区|2室2厅|84.92|东北|简装|34|塔楼|133
西安|城西区|2室2厅|90.01|南北|精装|6|板楼|115
西安|城西区|1室1厅|42.27|东|精装|31|板塔结合|71
西安|城西区|2室2厅|42.27|东西|精装|6|暂无数据|114
西安|城西区|2室2厅|67.85|南北|精装|34|板楼|108
西安|城西区|2室2厅|98.88|东南|精装|27|板塔结合|170
西安|城西区|1室1厅|42.18|南|精装|18|板楼|60
西安|城西区|2室2厅|90.75|东|精装|33|塔楼|117
西安|城西区|2室1厅|90.75|西南|精装|11|板塔结合|117
西安|城西区|2室2厅|92.85|南北|精装|28|板塔结合|148
西安|城西区|2室2厅|94.09|东西|精装|18|板楼|125
西安|城西区|2室1厅|94.09|南|简装|27|塔楼|93
西安|城西区|2室1厅|61.72|西|简装|25|塔楼|106
西安|城西区|2室2厅|89.86|南北|精装|6|板塔结合|127
西安|城西区|2室1厅|82.11|西北|精装|27|板塔结合|136
西安|城西区|3室2厅|82.11|东|精装|19|塔楼|109
西安|城西区|3室2厅|127.76|北南|精装|33|板楼|243
西安|城西区|3室2厅|127.76|南北|精装|27|板塔结合|195
西安|城西区|3室2厅|127.76|西|精装|19|塔楼|107
西安|城西区|2室2厅|91.64|东|简装|11|板楼|132
西安|城西区|2室1厅|67.88|西北|精装|33|板塔结合|119
西安|城西区|3室1厅|113.92|南北|精装|6|板楼|110
西安|城西区|3室2厅|107.27|西南|精装|27|板塔结合|179
